Lokawisata Baturraden,user,salah satu destinasi wisata yang recommended di kota Banyumas,4
New Small World,user,mantapp sangat cocok untuk wisata keluarga,5
Telaga Sunyi,user,sangat direkomendasikan bagi pecinta alam,5
Taman Mas Kemambang,user,sangat recommend untuk tempat hangout bersama teman,4
Taman Andhang Pangrenan,user,sangat cocok untuk rekreasi bersama keluarga,5
Curug Song,user,Mantapppppppppppppppppppp,5
Hutan Pinus Limpakuwus,user,niceeeeeee,5
Gallery Water karangmangu,user,tempat wisata air air recommend di banyumas,5
Curug Bayan,user,suasana di tempat ini sangat sejukk,4
Camp Area Umbul Bengkok (Caub),user,sangat cocok untuk menghabiskan waktu bersama keluarga atau teman,5
Taman Kera dan Masjid Saka Tunggal,budicpp,destinasi wisata yang sangat cocok bagi yang ingin mendekatkan diri kepada tuhan,5
Pertapan Geduren,budicpp,sangat cocok bagi pecinta sejarah,5
Wisata Religi Makam Mbah Atas Angin,budicpp,mantappp sangat recommend,5
Monumen Jendreal Soedirman,budicpp,sangat direkomendasikan bagi pecinta sejarah terutama sejarah kemerdekaan,5
Museum Wayang Sendang Mas Banyumas,budicpp,sangat cocok bagi penggiat seni budaya,5
Rumah Lengger Banyumas,budicpp,sangat cocok bagi penggiat seni budaya,5
Makam Joko Kaiman,budicpp,niceeee,5
Museum Bank BRI,budicpp,uang lebih manis daripada madu,3
Menara Pandang Teratai,budicpp,cocok untuk menikmati waktu bersama keluarga,4
Pasar Ragatali,budicpp,waduhhh uang saya habis buat beli barang barang disini,2
Pasar Ragatali,alexjava,mantappp bisa berenang sambil bertani,5
Gunung Batur,alexjava,sangat asriiii,4
Curug Telu,alexjava,sangat niceee,5
Bukit Pangonan Indah,alexjava,sangat nikmat untuk menenangkan pikiran,5
Gua Serwiti,alexjava,sangat panjanggg,3
Gua Damar,alexjava,sangat alamiiii,4
Wuwu Kembar,alexjava,cocok untuk untuk yang sudah berkeluarga dan tidak cocok untuk saya yang single,1
Grojogan Ratu,alexjava,air terjun setinggi harapan orang tua,4
Prawita garden,alexjava,mukbang buah slurrr,5
Agrowisata Karang Panginyongan,alexjava,sangat mengedukasi,5
New Small World,yantopython,Banyak miniatur yang bagus anak-anak sangat menyukainya,5
New Small World,arigolang,Pengalaman yang luar biasa melihat ikon dunia dalam satu tempat,4
New Small World,agusscript,Tempat yang edukatif dan menyenangkan,5
Telaga Sunyi,siregarbudi,Tempatnya tenang dan cocok untuk melepas penat,5
Telaga Sunyi,budikapal,Pemandangan telaganya sangat indah,5
Telaga Sunyi,dodikopling,Akses jalannya agak sulit tapi terbayar dengan keindahan telaganya,4
Taman Mas Kemambang,dorihashing,Tempat bermain anak yang sangat menyenangkan,5
Taman Mas Kemambang,dedibinary,Kolamnya besar dan bersih anak-anak sangat senang bermain di sini,4
Taman Mas Kemambang,aldimatrix,Sangat cocok untuk rekreasi keluarga,5
Taman Andhang Pangrenan,fandicripto,Taman yang luas dan banyak fasilitas bermain untuk anak-anak,4
Taman Andhang Pangrenan,budidub,Tempat yang nyaman untuk bersantai dan piknik,5
Taman Andhang Pangrenan,garoxgitar,Taman yang bagus dengan banyak spot foto,4
Taman Andhang Pangrenan,yantopython,Taman yang bagus dengan banyak spot foto,4
Taman Andhang Pangrenan,agusscript,Taman yang bagus dengan banyak spot foto,4
Curug Song,yantopython,Air terjunnya indah dan dikelilingi oleh hutan yang sejuk,5
Curug Song,arigolang,Sangat cocok untuk yang suka hiking,4
Curug Song,agusscript,Jalan menuju air terjun cukup menantang tapi sepadan dengan pemandangannya,5
Hutan Pinus Limpakuwus,siregarbudi,Sangat sejuk dan nyaman untuk bersantai,5
Hutan Pinus Limpakuwus,budikapal,Pemandangan hutan pinusnya sangat memukau,5
Hutan Pinus Limpakuwus,dodikopling,Tempat yang bagus untuk berfoto dan menikmati alam,4
Gallery Water Karangmangu,dorihashing,Spot foto underwaternya sangat keren,5
Gallery Water Karangmangu,dedibinary,Waterparknya bagus anak-anak sangat menikmatinya,4
Gallery Water Karangmangu,aldimatrix,Tempat yang menyenangkan untuk rekreasi keluarga,5
Curug Bayan,fandicripto,Air terjun yang sejuk dan alami,4
Curug Bayan,budidub,Sangat cocok untuk yang suka alam,5
Curug Bayan,garoxgitar,Suasana di sini sangat tenang dan menyegarkan,5
Camp Area Umbul Bengkok (Caub),yantopython,Pengalaman camping yang seru dan menyenangkan,5
Camp Area Umbul Bengkok (Caub),arigolang,Tempat camping yang sangat asri dan alami,4
Camp Area Umbul Bengkok (Caub),agusscript,Suasana malam di sini sangat tenang dan damai,5
Taman Kera dan Masjid Saka Tunggal,siregarbudi,Tempat wisata yang unik dengan banyak kera,4
Taman Kera dan Masjid Saka Tunggal,budikapal,Masjidnya bersejarah dan sangat menarik,5
Taman Kera dan Masjid Saka Tunggal,dodikopling,Pemandangan sekitar sangat indah,5
Pertapan Geduren,dorihashing,Tempat bersejarah yang menarik untuk dikunjungi,4
Pertapan Geduren,dedibinary,Gua pertapaannya sangat unik dan penuh sejarah,5
Pertapan Geduren,aldimatrix,Sangat informatif dan edukatif,4
Wisata Religi Makam Mbah Atas Angin,fandicripto,Tempat ziarah yang tenang dan damai,5
Wisata Religi Makam Mbah Atas Angin,budidub,Sangat cocok untuk yang mencari ketenangan,4
Wisata Religi Makam Mbah Atas Angin,garoxgitar,Pengalaman spiritual yang mendalam,5
Monumen Jenderal Soedirman,yantopython,Monumen bersejarah yang wajib dikunjungi,5
Monumen Jenderal Soedirman,arigolang,Sangat informatif tentang sejarah kemerdekaan,4
Monumen Jenderal Soedirman,agusscript,Tempat yang penuh dengan nilai patriotisme,5
Museum Wayang Sendang Mas Banyumas,siregarbudi,Koleksi wayangnya sangat lengkap dan menarik,5
Museum Wayang Sendang Mas Banyumas,budikapal,Sangat informatif tentang budaya wayang,4
Museum Wayang Sendang Mas Banyumas,dodikopling,Tempat yang edukatif dan menyenangkan,5
Rumah Lengger Banyumas,dorihashing,Sanggar seni yang sangat menarik,4
Rumah Lengger Banyumas,dedibinary,Tempat yang bagus untuk belajar tentang tari Lengger,5
Rumah Lengger Banyumas,aldimatrix,Pertunjukan tari yang sangat menghibur,5
Makam Joko Kaiman,fandicripto,Makam yang penuh sejarah dan dihormati,4
Makam Joko Kaiman,budidub,Tempat yang sangat tenang dan penuh sejarah,5
Makam Joko Kaiman,garoxgitar,Sangat menginspirasi dengan cerita kepemimpinan Joko Kaiman,4
Museum Bank BRI,yantopython,Tempat yang bagus untuk belajar sejarah perbankan,5
Museum Bank BRI,arigolang,Koleksi benda bersejarahnya sangat lengkap,4
Museum Bank BRI,agusscript,Tempat yang sangat direkomendasikan untuk pecinta sejarah,5
Menara Pandang Teratai,siregarbudi,Menara pandangnya sangat unik dan indah,5
Menara Pandang Teratai,budikapal,Restoran di dalamnya sangat bagus dengan pemandangan yang indah,4
Menara Pandang Teratai,dodikopling,Tempat yang bagus untuk menikmati pemandangan kota,5
Pasar Ragatali,dorihashing,Pusat belanja produk tradisional yang sangat lengkap,4
Pasar Ragatali,dedibinary,Banyak pilihan kerajinan tangan yang unik,5
Pasar Ragatali,aldimatrix,Tempat yang bagus untuk membeli oleholeh,4
Pagubugan Melung,fandicripto,Kolam renangnya sangat bersih dan nyaman,5
Pagubugan Melung,budidub,Berenang dengan pemandangan sawah yang indah,4
Pagubugan Melung,garoxgitar,Tempat yang sangat tenang dan alami,5
Gunung Batur,yantopython,Keindahan alam pegunungan yang sangat memukau,5
Gunung Batur,arigolang,Tempat yang bagus untuk hiking dan menikmati alam,4
Gunung Batur,agusscript,Suasana pegunungan yang tenang dan sejuk,5
Curug Telu,siregarbudi,Air terjun yang sangat indah dan menyegarkan,5
Curug Telu,budikapal,Pemandangan yang asri dan menenangkan,4
Curug Telu,dodikopling,Sangat cocok untuk yang suka alam,5
Bukit Pangonan Indah,dorihashing,Panorama pegunungan yang sangat indah,5
Bukit Pangonan Indah,dedibinary,Tempat yang bagus untuk melihat matahari terbit,4
Bukit Pangonan Indah,aldimatrix,Sangat cocok untuk berfoto dan menikmati alam,5
Gua Serwiti,fandicripto,Gua yang sangat indah dengan stalaktit yang menakjubkan,4
Gua Serwiti,budidub,Pengalaman yang luar biasa menjelajahi gua,5
Gua Serwiti,garoxgitar,Sangat cocok untuk yang suka petualangan,4
Gua Damar,yantopython,Gua kapur yang sangat menarik,5
Gua Damar,arigolang,Tempat yang bagus untuk belajar geologi,4
Gua Damar,agusscript,Proses pembentukan gua yang sangat mengagumkan,5
Wuwu Kembar,siregarbudi,Taman bermain dan kolam renangnya sangat menyenangkan,5
Wuwu Kembar,budikapal,Tempat yang bagus untuk rekreasi keluarga,4
Wuwu Kembar,dodikopling,Anak-anak sangat senang bermain di sini,5
Grojogan Ratu,dorihashing,Air terjun yang indah dengan pemandangan yang asri,5
Grojogan Ratu,dedibinary,Sangat cocok untuk bersantai dan menikmati alam,4
Grojogan Ratu,aldimatrix,Tempat yang sangat sejuk dan menyegarkan,5
